op,elapsedTime,diskIOBytes
StoreGetObject,2625,0
StoreGetType,1875,0
StoreGetType,20583,0
StoreGetType,1291,0
StoreSetPackageRealm,125000,65
StoreSetObject,45083,544
StoreSetObject,839750,22376
StoreSetObject,21416,344
StoreSetObject,21833,344
StoreSetType,505041,14573
StoreSetType,12625,188
StoreSetType,211833,5768
StoreAddMemPackage,52667,16394
StoreGetObject,2583,0
StoreGetObject,2958,0
StoreSetPackageRealm,19875,53
StoreSetObject,35875,422
StoreSetObject,175209,3799
StoreSetObject,22333,335
StoreAddMemPackage,21791,590
StoreGetType,1792,0
StoreGetType,1334,0
StoreGetType,1208,0
StoreGetType,1042,0
StoreGetType,1042,0
StoreSetPackageRealm,13125,76
StoreSetObject,31458,662
StoreSetObject,23500,561
StoreSetObject,18584,254
StoreSetObject,25459,480
StoreSetObject,26459,770
StoreSetObject,34666,177
StoreSetObject,17041,434
StoreSetObject,61125,770
StoreSetObject,10500,177
StoreSetObject,19250,431
StoreSetObject,25500,774
StoreSetObject,263833,862
StoreSetObject,98750,860
StoreSetObject,46042,442
StoreSetObject,636417,8699
StoreSetObject,32208,662
StoreSetPackageRealm,8208,76
StoreSetType,24917,425
StoreSetType,9541,219
StoreSetType,53833,1772
StoreSetType,47750,1798
StoreSetType,53125,1791
StoreAddMemPackage,29417,2784
StoreSetPackageRealm,10125,76
StoreSetObject,20042,1379
StoreSetObject,21958,647
StoreSetObject,20583,1379
StoreSetObject,18875,1379
StoreSetObject,15833,351
StoreSetObject,18750,445
StoreSetObject,18584,395
StoreSetObject,26250,438
StoreSetObject,52250,482
StoreSetObject,27833,772
StoreSetObject,17083,436
StoreSetObject,24500,772
StoreSetObject,23583,776
StoreSetObject,34500,864
StoreSetObject,27375,862
StoreSetObject,16834,444
StoreSetObject,251917,8701
StoreDeleteObject,4791,0
StoreSetPackageRealm,8667,76
StoreSetObject,26583,650
StoreSetObject,23667,1379
StoreSetObject,22667,648
StoreSetObject,27708,863
StoreSetObject,23208,1379
StoreSetObject,20208,1379
StoreSetObject,15625,1379
StoreSetObject,18459,525
StoreSetObject,17792,445
StoreSetObject,26208,610
StoreSetObject,16625,438
StoreSetObject,23208,482
StoreSetObject,25209,772
StoreSetObject,15625,436
StoreSetObject,22708,772
StoreSetObject,28417,776
StoreSetObject,26958,864
StoreSetObject,27041,862
StoreSetObject,16916,444
StoreSetObject,276917,8701
StoreDeleteObject,5542,0
StoreDeleteObject,4000,0
StoreSetPackageRealm,8542,76
StoreSetObject,29541,1379
StoreSetObject,21333,648
StoreSetObject,27500,864
StoreSetObject,26791,863
StoreSetObject,19583,1379
StoreSetObject,16250,1379
StoreSetObject,15375,1379
StoreSetObject,30375,1379
StoreSetObject,24916,699
StoreSetObject,19041,445
StoreSetObject,27750,825
StoreSetObject,18417,438
StoreSetObject,21916,482
StoreSetObject,24250,772
StoreSetObject,16333,436
StoreSetObject,29250,772
StoreSetObject,23708,776
StoreSetObject,43792,864
StoreSetObject,26500,862
StoreSetObject,17000,444
StoreSetObject,249208,8701
StoreDeleteObject,4125,0
StoreDeleteObject,3791,0
StoreDeleteObject,3958,0
StoreDeleteObject,3625,0
StoreSetPackageRealm,7916,76
StoreSetObject,43292,864
StoreSetObject,20000,1379
StoreSetObject,20208,648
StoreSetObject,25625,864
StoreSetObject,27375,863
StoreSetObject,19708,1379
StoreSetObject,15208,1379
StoreSetObject,16417,1379
StoreSetObject,21125,1379
StoreSetObject,18125,1379
StoreSetObject,26625,873
StoreSetObject,24291,445
StoreSetObject,35166,1040
StoreSetObject,19791,438
StoreSetObject,17750,482
StoreSetObject,25375,772
StoreSetObject,17792,436
StoreSetObject,29125,772
StoreSetObject,23333,776
StoreSetObject,29250,864
StoreSetObject,26959,862
StoreSetObject,16417,444
StoreSetObject,267791,8701
StoreDeleteObject,4375,0
StoreDeleteObject,4167,0
StoreDeleteObject,3958,0
StoreDeleteObject,3791,0
StoreDeleteObject,4084,0
StoreDeleteObject,3875,0
StoreSetPackageRealm,8375,76
StoreSetObject,20000,1379
StoreSetObject,22417,648
StoreSetObject,26667,864
StoreSetObject,31500,864
StoreSetObject,26917,863
StoreSetObject,15833,1379
StoreSetObject,19584,1379
StoreSetObject,16166,1379
StoreSetObject,17375,1379
StoreSetObject,20541,1379
StoreSetObject,16958,1379
StoreSetObject,29750,1047
StoreSetObject,17042,445
StoreSetObject,52834,1255
StoreSetObject,17209,438
StoreSetObject,17000,482
StoreSetObject,28208,772
StoreSetObject,17292,436
StoreSetObject,27875,772
StoreSetObject,23709,776
StoreSetObject,25833,864
StoreSetObject,27500,862
StoreSetObject,16208,444
StoreSetObject,245125,8701
StoreDeleteObject,3917,0
StoreDeleteObject,3917,0
StoreDeleteObject,3958,0
StoreDeleteObject,3917,0
StoreDeleteObject,3916,0
StoreDeleteObject,3541,0
StoreDeleteObject,6583,0
StoreSetPackageRealm,8416,76
StoreSetObject,28917,864
StoreSetObject,19583,1379
StoreSetObject,21417,648
StoreSetObject,31042,864
StoreSetObject,28250,864
StoreSetObject,27208,863
StoreSetObject,17458,1379
StoreSetObject,20167,1379
StoreSetObject,15625,1379
StoreSetObject,19209,1379
