goos: linux
goarch: amd64
pkg: alloc_bench
cpu: DO-Regular
BenchmarkAlloc_1-4            	46418689	        25.74 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	48210472	        24.31 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	44652110	        25.37 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	46663230	        24.68 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	49524085	        24.04 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	44532153	        24.39 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	51456838	        24.84 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	53421818	        24.53 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	49523394	        24.98 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	48867415	        24.98 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	50855811	        25.09 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	40259035	        25.47 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	44421903	        25.26 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	47354088	        25.67 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	45049359	        26.19 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	54814766	        26.29 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	47343853	        27.12 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	40706924	        25.70 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	47212225	        25.63 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_1-4            	49304149	        25.40 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	39435006	        29.88 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	40472641	        29.87 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	41395936	        29.02 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	41185105	        29.03 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	41322667	        27.36 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	40723548	        28.41 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	39817844	        27.82 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	38814957	        27.04 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	42916608	        30.42 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	42927567	        29.12 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	37978633	        30.09 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	40970940	        30.36 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	38413604	        28.39 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	45069260	        28.41 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	39399339	        28.31 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	47804683	        27.82 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	41079847	        29.08 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	37904004	        27.76 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	42522634	        28.99 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_2-4            	42485089	        29.10 ns/op	       2 B/op	       1 allocs/op
BenchmarkAlloc_4-4            	34768046	        29.48 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-4            	36023725	        31.47 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-4            	40530145	        30.26 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-4            	38735970	        31.84 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-4            	36152793	        30.68 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-4            	40539962	        29.16 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-4            	38436072	        31.44 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-4            	38042671	        31.63 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-4            	47153502	        29.44 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-4            	36555241	        30.94 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-4            	44029018	        29.45 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-4            	35555982	        30.68 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-4            	35616526	        30.15 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-4            	40799356	        31.39 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-4            	38405601	        30.61 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-4            	35264929	        30.79 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-4            	39631297	        30.16 ns/op	       4 B/op	       1 allocs/op
BenchmarkAlloc_4-4            	43253834	        36.21 ns/op	       4 B/op	       1 allocs/op
