BenchmarkOpAdd_Int-2                         	 6914342	       176.1 ns/op	         0 alloc-gas/op	        91.29 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpAdd_Int-2                         	 6970477	       174.1 ns/op	         0 alloc-gas/op	        90.30 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpAdd_Int-2                         	 6817694	       174.0 ns/op	         0 alloc-gas/op	        89.43 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpAdd_String_10-2                   	 3355699	       353.3 ns/op	         5.000 alloc-gas/op	       204.0 ns/op(pure)	      72 B/op	       4 allocs/op
BenchmarkOpAdd_String_10-2                   	 3353649	       358.2 ns/op	         5.000 alloc-gas/op	       207.7 ns/op(pure)	      72 B/op	       4 allocs/op
BenchmarkOpAdd_String_10-2                   	 3394446	       355.5 ns/op	         5.000 alloc-gas/op	       204.4 ns/op(pure)	      72 B/op	       4 allocs/op
BenchmarkOpAdd_String_100-2                  	 2780320	       428.5 ns/op	        14.00 alloc-gas/op	       252.1 ns/op(pure)	     256 B/op	       4 allocs/op
BenchmarkOpAdd_String_100-2                  	 2750980	       422.5 ns/op	        14.00 alloc-gas/op	       251.3 ns/op(pure)	     256 B/op	       4 allocs/op
BenchmarkOpAdd_String_100-2                  	 2759624	       424.9 ns/op	        14.00 alloc-gas/op	       253.2 ns/op(pure)	     256 B/op	       4 allocs/op
BenchmarkOpAdd_String_1000-2                 	 1233667	       987.7 ns/op	       104.0 alloc-gas/op	       671.1 ns/op(pure)	    2096 B/op	       4 allocs/op
BenchmarkOpAdd_String_1000-2                 	 1192512	       994.4 ns/op	       104.0 alloc-gas/op	       676.5 ns/op(pure)	    2096 B/op	       4 allocs/op
BenchmarkOpAdd_String_1000-2                 	 1215490	       983.2 ns/op	       104.0 alloc-gas/op	       666.7 ns/op(pure)	    2096 B/op	       4 allocs/op
BenchmarkOpAdd_String_10000-2                	  233472	      4533 ns/op	       859.0 alloc-gas/op	      4168 ns/op(pure)	   20529 B/op	       4 allocs/op
BenchmarkOpAdd_String_10000-2                	  235064	      4475 ns/op	       859.0 alloc-gas/op	      4114 ns/op(pure)	   20529 B/op	       4 allocs/op
BenchmarkOpAdd_String_10000-2                	  237626	      4471 ns/op	       859.0 alloc-gas/op	      4115 ns/op(pure)	   20529 B/op	       4 allocs/op
BenchmarkOpAdd_Float64-2                     	 4923867	       239.7 ns/op	         0 alloc-gas/op	       160.1 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpAdd_Float64-2                     	 5021989	       241.3 ns/op	         0 alloc-gas/op	       162.1 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpAdd_Float64-2                     	 4978899	       238.9 ns/op	         0 alloc-gas/op	       160.0 ns/op(pure)	       0 B/op	       0 allocs/op
BenchmarkOpAdd_BigInt_64-2                   	 3214849	       367.5 ns/op	         0 alloc-gas/op	       273.4 ns/op(pure)	      80 B/op	       2 allocs/op
BenchmarkOpAdd_BigInt_64-2                   	 3212589	       371.6 ns/op	         0 alloc-gas/op	       276.6 ns/op(pure)	      80 B/op	       2 allocs/op
BenchmarkOpAdd_BigInt_64-2                   	 3320743	       366.3 ns/op	         0 alloc-gas/op	       273.1 ns/op(pure)	      80 B/op	       2 allocs/op
BenchmarkOpAdd_BigInt_256-2                  	 3186385	       372.1 ns/op	         0 alloc-gas/op	       274.0 ns/op(pure)	     112 B/op	       2 allocs/op
BenchmarkOpAdd_BigInt_256-2                  	 3152786	       375.5 ns/op	         0 alloc-gas/op	       278.2 ns/op(pure)	     112 B/op	       2 allocs/op
BenchmarkOpAdd_BigInt_256-2                  	 3146628	       376.6 ns/op	         0 alloc-gas/op	       280.4 ns/op(pure)	     112 B/op	       2 allocs/op
BenchmarkOpAdd_BigInt_1024-2                 	 2772969	       431.9 ns/op	         0 alloc-gas/op	       317.4 ns/op(pure)	     208 B/op	       2 allocs/op
BenchmarkOpAdd_BigInt_1024-2                 	 2796984	       428.1 ns/op	         0 alloc-gas/op	       314.2 ns/op(pure)	     208 B/op	       2 allocs/op
BenchmarkOpAdd_BigInt_1024-2                 	 2744773	       428.7 ns/op	         0 alloc-gas/op	       313.9 ns/op(pure)	     208 B/op	       2 allocs/op
BenchmarkOpAdd_BigInt_4096-2                 	 1888344	       641.3 ns/op	         0 alloc-gas/op	       465.9 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpAdd_BigInt_4096-2                 	 1926013	       632.1 ns/op	         0 alloc-gas/op	       458.2 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpAdd_BigInt_4096-2                 	 1884603	       632.9 ns/op	         0 alloc-gas/op	       457.5 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpAdd_BigInt_64x4096-2              	 1909194	       634.4 ns/op	         0 alloc-gas/op	       464.0 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpAdd_BigInt_64x4096-2              	 1875325	       634.1 ns/op	         0 alloc-gas/op	       464.0 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpAdd_BigInt_64x4096-2              	 1869487	       643.8 ns/op	         0 alloc-gas/op	       469.1 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpAdd_BigInt_256x4096-2             	 1868988	       637.6 ns/op	         0 alloc-gas/op	       461.6 ns/op(pure)	     608 B/op	       2 allocs/op
BenchmarkOpAdd_BigInt_256x4096-2             	 1869828	       635.6 ns/op	         0 alloc-gas/op	       465.8 ns/op(pure)	     608 B/op	       2 allocs/op
